file_id	tags
1	talks, business, creativity, curiosity, goal-setting, innovation, motivation, potential, success, work
2	talks, Planets, TEDx, bacteria, biology, engineering, environment, evolution, exploration, future, innovation, intelligence, microbiology, nature, potential, science
3	talks, Debate, Guns, activism, big problems, children, choice, community, future, goal-setting, government, law, leadership, marketing, parenting, policy, social change, violence
4	talks, Brazil, Slavery, art, beauty, community, creativity, culture, design, global issues, humanity, identity, photography, race, social change, society, visualizations
5	talks, NASA, communication, computers, creativity, design, engineering, exploration, future, innovation, interface design, invention, microsoft, potential, prediction, product design, technology, visualizations
6	talks, Africa, Internet, community, democracy, development, future, government, identity, leadership, politics, potential
7	talks, ancient world, animals, biology, biosphere, curiosity, environment, evolution, history, life, nature, paleontology, science
8	talks, TEDx, business, culture, economics, personal growth, success, work
9	talks, Criminal Justice, big problems, choice, compassion, decision-making, education, government, inequality, law, leadership, policy, race, social change, society
10	talks, Senses, augmented reality, brain, computers, creativity, cyborg, demo, design, engineering, entrepreneur, innovation, interface design, invention, neuroscience, potential, prediction, product design, technology, visualizations
11	talks, Debate, big problems, business, capitalism, collaboration, community, democracy, economics, global issues, government, identity, leadership, philosophy, policy, politics, social change, society
12	talks, TED Fellows, activism, big problems, crime, design, innovation, interface design, product design, sex, social change, software, violence, women
13	talks, Internet, brain, choice, comedy, decision-making, entertainment, funny, goal-setting, humor, mind, online video, productivity, time, visualizations, work, writing
14	talks, behavioral economics, business, collaboration, community, culture, design, economics, entrepreneur, future, innovation, potential, privacy, product design, relationships, social change, technology, urban planning
15	talks, God, big problems, business, capitalism, community, education, faith, inequality, social change, society
16	talks, Buddhism, alternative energy, beauty, big problems, biosphere, climate change, democracy, development, economics, environment, future, global issues, goal-setting, government, green, happiness, humanity, innovation, leadership, nature, politics, pollution, sustainability, trees, world cultures
17	talks, TEDx, creativity, curiosity, design, empathy, family, illusion, india, innovation, invention, mobility, motivation, product design, simplicity
18	talks, TEDx, adventure, ancient world, animals, beauty, biodiversity, biology, biosphere, chemistry, climate change, environment, exploration, future, history, life, nature, oceans, science, water
19	talks, Vaccines, agriculture, biomechanics, biosphere, biotech, botany, chemistry, climate change, collaboration, data, design, ebola, education, engineering, environment, food, future, garden, green, innovation, nature, open-source, potential, science, software, sustainability, technology, virus, water
20	talks, children, computers, development, education, future, inequality, innovation, motivation, personal growth, potential, programming, social change, software, teaching, women
21	talks, Brand, Internet, business, cars, china, cities, economics, entrepreneur, environment, future, green, india, innovation, invention, investment, mobility, pollution, potential, society, software, sustainability, technology, transportation, web
